"certId","createdAt","target","grade","verdict","soldViaOrder","payTx","withinDeadline"
"cc-a98885cb-20260705150643","2026-07-05T15:06:43.789Z","Axion","C·70","conditional","","","true"
"cc-a98885cb-20260705152813","2026-07-05T15:28:13.816Z","Axion","B·82","conditional","","0x599d4f21841e2aee650f7347ee437fd6a8b409bc1ada119cca381da9bd1acfde","true"
"cc-a98885cb-20260706074029","2026-07-06T07:40:29.046Z","Axion","A·88","certified","","0x500923c5d41068820773caa37519725aaed365d5e704e7f83695723a385447cd|0x611ae210b7ecd8a6bb0700f80f7d5250d21d7de1dd487935276e94fed562d4a9","true"
"cc-e05abaea-20260706074504","2026-07-06T07:45:04.403Z","AlphaTrack","A·88","certified","","0xf316387d66d94bf2167069a1ae86548950ea01decdde0e8d407e3d09a37d43f3|0x19c08bff64acb82b700dd7669ca412fe854da1732f4a6762da08079e4f1645ba","true"
"cc-9753b752-20260706074511","2026-07-06T07:45:11.166Z","DCA Signal AI Agent","F·0","not_certified","","","true"
"cc-0dfd114d-20260706074524","2026-07-06T07:45:24.836Z","Manga Localizer Agent","F·0","not_certified","","","true"
"cc-13506a9a-20260706074951","2026-07-06T07:49:51.328Z","OpsPilot","B·84","conditional","","0xbf95d81c011ae7cac0e3ae6e6910a6e1a8e6144c2710c1918233b66a62661f69|0x846cd906fedf9faccc2eccf0f88c71a6f142d96cbc575bd09fb24ba9fcf8ca08","true"
"cc-ba90fcf8-20260706075415","2026-07-06T07:54:15.533Z","SwapCat","A·96","certified","","0xa6df969b730e94234aac80fdd6c284952a97795d3c72cdb0ea0eaed34edcc8a7|0xdb3b3b218b801e7889538d79c9c806bc42d61fdb33be601c1da1fc870945d68e","true"
"cc-e9df1c5e-20260706080018","2026-07-06T08:00:18.135Z","Surety","B·84","conditional","","0xceb41a7b52d872804aac8828ae1ba58e45f89cb113c049940f6f12f75c997de4|0x7827baa26ca37ea7f4b575719c0ea4d9cb8e1b6f625e2e1fa571ca5b3afdf536","true"
"cc-9753b752-20260706080139","2026-07-06T08:01:39.093Z","DCA Signal AI Agent","F·0","not_certified","","","true"
"cc-9753b752-20260706080910","2026-07-06T08:09:10.819Z","DCA Signal AI Agent","A·96","certified","","0x598cb54800f9ef37e0090694784c8e121fcb627c926976eedcf1de3260079ebe|0xd1a9fc311f9f1f6b3fa694bfdd4ce240244c4fe404a52d9f56daf7dfcc929efd","true"
"cc-49373b68-20260706085206","2026-07-06T08:52:06.402Z","Polymind","F·0","not_certified","765f6713-7c72-4e85-9ca7-b5ff1a2744f5","","true"
"cc-49373b68-20260706085959","2026-07-06T08:59:59.001Z","Polymind","A·88","certified","","0x9eeb4a29677b1aafa914c2d5eb99290ce6e7d49a0052e486cc7058eae3c52359|0xc3e1443278c457c502a17d9b488a8a420888e67ee59d0c541934a1ee0286995f","true"
